 NO,BULAN,TGL BAGI WO,NAMA PELANGGAN,STO,KETERANGAN,MITRA, SEGMEN,PAKET,AREA
9,MARET,08/03/2024,PT NUSANTARA EKSPRES KILAT,MET,a. PS,GTM,DBS,50 MBPS,METRO
10,MARET,08/03/2024,DINAS P3AP2KB KABUPATEN PRINGSEWU,PRW,a. PS,BTO,DBS,300 MBPS,PRINGSEWU
11,MARET,08/03/2024,SMK NEGERI BLAMBANGAN UMPU,BDU,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
12,MARET,08/03/2024,CV ADIB JAYA,KOT,a. PS,BTO,DBS,300 MBPS,PRINGSEWU
13,MARET,06/03/2024,cv global service ,KOT,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
14,MARET,08/03/2024,NIRWANA MANDIRI ATK ,PRW,a. PS,BTO,DBS,100 MBPS,PRINGSEWU
15,MARET,08/03/2024,cv sinar mas,PRW,a. PS,BTO,DBS,100 MBPS,PRINGSEWU
3,MARET,09/03/2024,PT. PENTA VALENT,KDT,a. PS,BTO,DBS,150 MBPS,INNER
4,MARET,09/03/2024,RUANG DALVERIF BIDKEU POLDA LAMPUNG  ,KDT,a. PS,STN,DGS,100 MBPS,INNER
17,MARET,08/03/2024,Tegar Jaya Meubel,LKP,KENDALA BUTUH PT2NS/PT3,SIM,DBS,50 MBPS,INNER
1,APRIL,24/04/2024,BPRS METRO MADANI,KDT,a. PS,STN,DBS,100MBPS,INNER
5,MARET,14/03/2024,UPT SDN 26 TULANG BAWANG TENGAH ,MGA,a. PS,BTO,DBS,300 MBPS,METRO
5,MARET,09/03/2024,KIMIA FARMA ,TJK,a. PS,KPU,DES,50 MBPS,INNER
8,MARET,09/03/2024,TOKO WIKO JAYA,WJA,a. PS,BTO,DBS,300 MBPS,METRO
9,MARET,09/03/2024,PENGADILAN AGAMA METRO,MET,a. PS,GTM,DBS,50 MBPS,METRO
1,MARET,10/03/2024,PT. Artacomindo Jejaring Nusa _ L779- PULAU PISANG F,KDT,f. CP RNA ,STN,DBS,30 MBPS,INNER
3,MARET,11/03/2024,Kata Semesta Textile Printing,TJK,a. PS,KPU,DBS,100 MBPS,INNER
1,MARET,11/03/2024,TOKO MITRA MULTIGUNA,KDT,a. PS,STN,DBS,50 MBPS,INNER
9,MARET,13/03/2024,BKPPD LAMPUNG TIMUR,SKD,a. PS,GTM,DBS,100 MBPS,METRO
13,MARET,13/03/2024,SMA NEGERI 1 PARDASUKA,PRW,a. PS,BTO,DBS,300 MBPS,PRINGSEWU
2,MARET,15/03/2024,PT KARUNIA CITRA SUKSES,TJK,a. PS,KPU,DBS,50 MBPS,INNER
11,MARET,11/03/2024,PT. Bangun Informasi Teknologi,KDT,a. PS,STN,DBS,50 MBPS,INNER
4,MARET,10/03/2024,PERTAMINA SUKADAMAI LAMPUNG SELATAN,MET,a. PS,GTM,DBS,50 MBPS,METRO
5,MARET,10/03/2024,SPBU 24.341.80,SKD,a. PS,GTM,DBS,50 MBPS,METRO
6,MARET,10/03/2024,PUSKESMAS KOTAGAJAH,MET,a. PS,GTM,DBS,50 MBPS,METRO
7,MARET,10/03/2024,PERCETAKAN H-PRINT AMRULLAH,UNT,a. PS,TA,DBS,200 MBPS,METRO
14,MARET,13/03/2024, CV. JATI BUANA ,KOT,a. PS,BTO,DBS,300MBPS,PRINGSEWU
4,MARET,12/03/2024,KIMIA FARMA,KDT,a. PS,BTO,DES,50 MBPS,INNER
19,MARET,13/03/2024,KIMIA FARMA,PRW,a. PS,BTO,DES,50 MBPS,PRINGSEWU
2,MARET,11/03/2024,NURMALA,KLA,a. PS,KPU,DBS,75 MBPS,INNER
7,MARET,13/03/2024,DASDSASA,TJK,e. CANCEL,KPU,DBS,50 MBPS,INNER
13,MARET,10/03/2024,LKP BINA DHARMA,PRW,BUTUH PT4,BTO,DBS,50 MBPS,PRINGSEWU
3,MARET,15/03/2024,SMK NEGERI 7 BANDAR LAMPUNG,KDT,a. PS,STN,DBS,200 MBPS,INNER
5,MARET,12/03/2024,TOKO SRC MADE,MGA,a. PS,TA,DBS,200 MBPS,METRO
6,MARET,12/03/2024,TOKO EKA JAYA,UNT,a. PS,TA,DBS,200 MBPS,METRO
10,MARET,11/03/2024,PT. Artacomindo Jejaring Nusa _CAMPANG RAYA,KDT,KENDALA BUTUH PT2NS/PT3,STN,DBS,30 MBPS,INNER
7,MARET,12/03/2024,CV AWAN PUTIH,MET,a. PS,GTM,DBS,50 MBPS,METRO
5,MARET,11/03/2024,PT BUMEN REDJA ABADI,UNT,a. PS,TA,DBS,VOICE,METRO
9,MARET,12/03/2024,PT. AMARTHA MIKRO FINTEK,BKM,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
7,MARET,14/03/2024,SARPRAS Polres Tulang Bawang,MGA,a. PS,BTO,DGS,50MBPS,METRO
6,MARET,11/03/2024,MIMA Baros,KOT,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
18,MARET,11/03/2024,BCN PHOTO COPY,PRW,a. PS,BTO,DBS,100 MBPS,PRINGSEWU
1,MARET,18/03/2024,PT. Artacomindo Jejaring Nusa _ L779- PULAU PISANG F,KDT,a. PS,STN,DBS,30 MBPS,INNER
6,MARET,14/03/2024,TOKO IBU WATI  ,LAM,a. PS,BTO,DBS,300 MBPS,METRO
4,MARET,15/03/2024,PT. BANK HIBANK INDONESIA,TJK,a. PS,KPU,DES,50 MBPS,INNER
1,MARET,16/03/2024,PT. HANEL PUTRA TELEKOMUNIKASI,PJN,a. PS,KPU,DBS,50 MBPS,INNER
7,MARET,16/03/2024,TOKO BANGUNAN ABDUL BASIRUN  ,TJK,a. PS,KPU,DBS,100MBPS,INNER
1,APRIL,04/04/2024,Richeese Kuliner Indonesia,TJK,a. PS,KPU,DES,50 MBPS,INNER
3,MARET,12/03/2024,PT SATU AKSES INDONESIA,KDT,KENDALA BUTUH PT2NS/PT3,STN,DBS,50 MBPS,INNER
8,MARET,12/03/2024,AGEN BRILINK DAN REST AREA ROID HASAN,UNT,KENDALA BUTUH PT2NS/PT3,TA,DBS,300 MBPS,METRO
7,MARET,14/03/2024,TOKO AQILA  ,UNT,a. PS,TA,DBS,50 MBPS,METRO
