 NO,BULAN,TGL BAGI WO,NAMA PELANGGAN,STO,KETERANGAN,MITRA, SEGMEN,PAKET,AREA
10,JULI,01/07/2024,RS AKKA MEDIKA SRIBAWONO,LAM,a. PS,BTO,DBS,150MBPS,METRO
15,JUNI,26/06/2024,MANDALA MULTIFINACE  LAMPUNG TENGAH,MET,a. PS,BTO,DES,50MBPS,METRO
14,JULI,01/07/2024,BADAN NARKOTIKA NASIONAL KABUPATEN TANGGAMUS,TGP,a. PS,BTO,DBS,200MBPS,PRINGSEWU
1,JUNI,22/06/2024,WISATA ALAM BATU PUTU,TJK,KENDALA BUTUH PT2NS/PT3,KPU,DBS,50MBPS,INNER
3,JUNI,22/06/2024,KUA METRO UTARA  METRO LAMPUNG,MET,a. PS,BTO,DBS,50MBPS,METRO
7,JUNI,22/06/2024,KONTER MAS NAIM,WJA,a. PS,BTO,DBS,50MBPS,METRO
9,JUNI,22/06/2024,AGEN SHOPEE XPRESS RIKI,UNT,a. PS,BTO,DBS,200MBPS,METRO
5,JUNI,22/06/2024,RUMAH DINAS SANIVA  ,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
4,JUNI,22/06/2024,SPTN III KRUI,KRU,KENDALA BUTUH PT2NS/PT3,GTM,DBS,50MBPS,PRINGSEWU
16,JUNI,26/06/2024,RUTAN KRUI,KRU,a. PS,GTM,DBS,200MBPS,PRINGSEWU
17,JUNI,25/06/2024,Wanda Butik,GDT,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,PRINGSEWU
17,JUNI,26/06/2024,BALAI PEKON PEKON BALAK  KOTA AGUNG LAMPUNG,KOT,a. PS,BTO,DBS,100MBPS,PRINGSEWU
11,JUNI,26/06/2024,OPERATOR SMAN 1 PAGAR DEWA  UNIT DUA MENGGALA LAMPUNG,UNT,e. CANCEL,BTO,DBS,200MBPS,METRO
15,JULI,01/07/2024,MAN 1 PESISISR BARAT,KRU,a. PS,GTM,DBS,200MBPS,PRINGSEWU
3,JUNI,28/06/2024,PT LAMPUNG BERKAH FINANSIAL TEKNOLOGI  ,KDT,a. PS,BTO,DBS,200MBPS,INNER
3,JUNI,27/06/2024,PT. KINISO AGENSY INDONESIA  ,KDT,a. PS,BTO,DBS,300MBPS,INNER
8,JUNI,27/06/2024,ELEGANT PLAFON PVC  PRINGSEWU LAMPUNG,PRW,a. PS,BTO,DBS,50MBPS,PRINGSEWU
5,JUNI,26/06/2024,PT. Tripilar Indonesia Pratama  ,NTR,f. BUTUH PT2 SIMPLE,BTO,DBS,50MBPS,INNER
2,JUNI,29/06/2024,PT. Tripilar Indonesia Pratama,KDT,a. PS,BTO,DBS,50MBPS,INNER
3,JUNI,30/06/2024,HAKIM MERAMBE QQ RUMAH BILLIARD,TJK,e. CANCEL,KPU,DBS,50MBPS,INNER
16,JULI,01/07/2024,MAN 1 PESISISR BARAT,KRU,a. PS,GTM,DBS,200MBPS,PRINGSEWU
1,JULI,02/07/2024,PT. YOBEL IRINE MEDIA,KDT,a. PS,BTO,DBS,150MBPS,INNER
9,JUNI,29/06/2024,PT TJOKRO PUTRA PERSADA,KDT,a. PS,BTO,DBS,150MBPS,INNER
2,JUNI,28/06/2024,Oliv Cafe Garden By Doubleight,TJK,a. PS,KPU,DBS,100MBPS,INNER
10,JUNI,28/06/2024,SD NEGERI 4 METRO TIMUR  ,MET,a. PS,BTO,DBS,150MBPS,METRO
11,JUNI,28/06/2024,STOCK POINT INDO GROSIR  ,MET,a. PS,BTO,DBS,50MBPS,METRO
2,JULI,02/07/2024,ROCKET CHICKEN PANJANG  BANDARLAMPUNG,PJN,a. PS,STN,DBS,50MBPS,INNER
2,JULI,25/07/2024,PT. NIPSEA PAINT AND CHEMICALS  BANDARLAMPUNG,TJK,a. PS,STN,DBS,100MBPS,INNER
3,JULI,02/07/2024,PT CIOMAS QQ BPD LPG,TJK,a. PS,KPU,DES,75MBPS,INNER
12,JUNI,28/06/2024,RUANG KASI TIK POLRES LAMPUNG UTARA  KOTABUMI LAMPUNG,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
13,JUNI,28/06/2024,PUSKESMAS RAWAT INAP GEDONG TATAAN,GDT,a. PS,BTO,DBS,50MBPS,PRINGSEWU
16,JUNI,28/06/2024,APOTEK SAHABAT MEDIKA,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
4,JULI,02/07/2024,SDIT UNGGUL GEMILANG  BANDARLAMPUNG,KDT,a. PS,BTO,DBS,50MBPS,INNER
15,JUNI,28/06/2024,Agen BRIlink Omi Jaya,PRW,a. PS,BTO,DBS,50MBPS,PRINGSEWU
16,JUNI,28/06/2024,TOP CENTRAL PLASTIK PRINGSEWU,PRW,a. PS,BTO,DBS,100MBPS,PRINGSEWU
7,JULI,02/07/2024,BAQO II ATM MINI & FOTOCOPY  ,KLA,a. PS,SIM,DBS,100MBPS,INNER
7,JULI,02/07/2024,PT BPR FAJAR WARAPASTIKA,LAM,a. PS,BTO,DBS,75MBPS,METRO
13,JUNI,01/06/2024,BADAN NARKOTIKA NASIONAL KABUPATEN TANGGAMUS,TGP,a. PS,BTO,DBS,200MBPS,PRINGSEWU
11,JULI,02/07/2024,SIAGA INTEL POLRES LAMPUNG UTARA  ,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
9,JUNI,28/06/2024,PT BINTANG UTAMA JAYA MAKMUR  BANDARLAMPUNG,TJK,e. CANCEL,KPU,DBS,100MBPS,INNER
12,JULI,02/07/2024,PT TRIPILAR INDONESIA PRATAMA  ,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
13,JULI,02/07/2024,UNIVERSITAS AISYAH PRINGSEWU,PRW,a. PS,BTO,DBS,300MBPS,PRINGSEWU
1,JULI,03/07/2024,DIREKTUR UTAMA PDAM WAY RILAU,TJK,a. PS,KPU,DBS,50MBPS,INNER
11,JULI,01/07/2024,PT BINTANG UTAMA JAYA MAKMUR,BDA,e. CANCEL,GTM,DBS,50MBPS,METRO
2,JULI,03/07/2024,PT SANATEL,TKB,a. PS,KPU,DPS,50MBPS,INNER
4,JULI,03/07/2024,DINAS KEPENDUDUKAN DAN CATATAN SIPIL TULANG BAWANG BARAT,MGA,a. PS,BTO,DBS,50MBPS,METRO
6,JULI,03/07/2024,MTS MUHAMMADIYAH METRO ,MET,a. PS,BTO,DBS,200MBPS,METRO
1,JULI,02/07/2024,CELAP CELUP MALL BOEMI KEDATON,KDT,e. KENDALA PELANGGAN,BTO,DBS,50MBPS,INNER
1,JULI,04/07/2024,RM KUBANG RAYA DAN MIMI GORDYN,KDT,a. PS,BTO,DBS,300MBPS,INNER
2,JULI,04/07/2024,PT PNM MEKAAR JATI AGUNG,KDT,a. PS,BTO,DSS,50MBPS,INNER
6,JULI,04/07/2024,JENGGALA COFFEE,LKP,a. PS,SIM,DBS,50MBPS,INNER
8,JULI,04/07/2024,SMP NEGERI 1 PEKALONGAN,MET,a. PS,BTO,DBS,100MBPS,METRO
7,MEI,27/05/2024,Rumah Dinas Kasat Intel Polres Lampung Uatara,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
8,JUNI,30/06/2024,SULTAN RENTAL PS,LIW,f. CP RNA ,GTM,DBS,300MBPS,PRINGSEWU
10,JULI,04/07/2024,PUSKESMAS KRUI SELATAN,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
1,JULI,05/07/2024,CV. GOKANNE CARSEN (THE CREATIVE STUDIO),TJK,a. PS,KPU,DBS,50MBPS,INNER
3,JULI,05/07/2024,EVAN THE KOST,KDT,a. PS,BTO,DBS,50MBPS,INNER
2,JULI,05/07/2024,PT BINTANG UTAMA JAYA MAKMUR,TJK,a. PS,KPU,DBS,100MBPS,INNER
14,JULI,05/07/2024,GRAND INDONESIA,PRW,a. PS,BTO,DPS,50MBPS,PRINGSEWU
1,JULI,06/07/2024,Gudang Sepeda Listrik,KDT,a. PS,BTO,DBS,50MBPS,INNER
14,JULI,02/07/2024,RUANG SIGER SETDAKAB LAMPUNG UTARA  KOTABUMI LAMPUNG,KBI,f. BUTUH PT2 SIMPLE,GTM,DBS,50MBPS,PRINGSEWU
2,JULI,06/07/2024,PT BINTANG SUMATERA EXPRESS,TJK,a. PS,KPU,DBS,100MBPS,INNER
3,JULI,06/07/2024,PT BINTANG SUMATERA EXPRESS,TJK,a. PS,KPU,DBS,100MBPS,INNER
8,JULI,06/07/2024,APOTEK LIMA WAKTU GB2,MET,a. PS,DCM,DBS,300MBPS,METRO
9,JULI,06/07/2024,PCN MR DIY XUJI,UNT,a. PS,BTO,DBS,50MBPS,METRO
12,JULI,06/07/2024,ARISA MAKEUP  PRINGSEWU LAMPUNG,GDT,a. PS,BTO,DBS,100MBPS,PRINGSEWU
1,JULI,08/07/2024,PT BINTANG SUMATERA EXPRESS,TJK,a. PS,KPU,DBS,100MBPS,INNER
5,JULI,05/07/2024,RAMAYANA LESTARI SENTOSA  LAMPUNG TIMUR,KDT,KENDALA BUTUH PT2NS/PT3,BTO,DPS,50MBPS,INNER
7,JULI,05/07/2024,Ruang Staf Gudang,PJN,KENDALA BUTUH PT2NS/PT3,STN,DBS,50MBPS,INNER
2,JULI,08/07/2024,PT BINTANG SUMATERA EXPRESS,TJK,a. PS,KPU,DBS,100MBPS,INNER
13,JULI,08/07/2024,DINASTEL BGES OPERATION  ,KDT,a. PS,BTO,DPS,50MBPS,INNER
9,JULI,08/07/2024,KLINIK ENGGAL WARAS,LAM,a. PS,DCM,DBS,50MBPS,METRO
10,JULI,08/07/2024,GUNUNG MADU PLANTATIONS,BDA,a. PS,DCM,DBS,50MBPS,METRO
11,JULI,08/07/2024,RUANG SPKT POLRES METRO,MET,a. PS,DCM,DBS,50MBPS,METRO
1,JULI,09/07/2024,SUKSES MEKAR SARI,TJK,a. PS,STN,DBS,50MBPS,INNER
9,JULI,09/07/2024,RUMDIN KOMINFO TULANG BAWANG,MGA,a. PS,BTO,DGS,50MBPS,METRO
10,JULI,09/07/2024,SMP ISLAMIYAH KOTA AGUNG,KOT,a. PS,BTO,DBS,300MBPS,PRINGSEWU
11,JULI,09/07/2024,PT Prodia Widyahusada,PRW,a. PS,BTO,DBS,50MBPS,PRINGSEWU
11,JULI,05/07/2024,Desi Houseware Homedekor,LAM,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,METRO
4,JULI,06/07/2024,ROYAL SURF - CV. INTER ROYAL PACIFIC,TJK,KENDALA BUTUH PT2NS/PT3,STN,DBS,50MBPS,INNER
3,JULI,09/07/2024,PT. RODA MAKMUR DAMAI SEJAHTERA,KDT,a. PS,BTO,DBS,50MBPS,INNER
10,JULI,09/07/2024,BANK BSI KCP Kotabumi  ,KBI,a. PS,DCM,DBS,50MBPS,PRINGSEWU
1,JULI,10/07/2024,TOKO BANGUNAN YUNIZAR,TJK,a. PS,STN,DBS,100MBPS,INNER
2,JULI,10/07/2024,ELPHONE CELL  ,TJK,a. PS,STN,DBS,100MBPS,INNER
6,JULI,10/07/2024,VIA CELL  UNIT DUA MENGGALA LAMPUNG,UNT,a. PS,TA,DBS,200MBPS,METRO
7,JULI,10/07/2024,BERKAH FASHION 11  ,MGA,a. PS,BTO,DBS,50MBPS,METRO
8,JULI,10/07/2024,UTD PMI LAMPUNG UTARA,KBI,a. PS,DCM,DBS,50MBPS,PRINGSEWU
1,JULI,11/07/2024,CV DIAMOND JAYA PERKASA,KDT,a. PS,BTO,DBS,50MBPS,INNER
8,JULI,08/07/2024,PT BEA SARI JELITA,KLA,KENDALA BUTUH PT2NS/PT3,SIM,DBS,50MBPS,INNER
1,JULI,11/07/2024,PT APLIKASI SOLUSI KREATIF(HCI LAMPUNG),KDT,a. PS,BTO,DBS,50MBPS,INNER
1,JULI,11/07/2024,20 CAFE,KDT,a. PS,KPU,DBS,100MBPS,INNER
2,JULI,11/07/2024,"Toko sumber raya  BANDARLAMPUNG, KEL GUNUNG TERANG",KDT,a. PS,BTO,DBS,100MBPS,INNER
3,JULI,11/07/2024,Queenjack Stream Lab,TKB,a. PS,STN,DBS,100MBPS,INNER
3,JUNI,10/07/2024,PT GUDANG SEGAR INDONESIA,PJN,a. PS,STN,DBS,50MBPS,INNER
2,JULI,14/07/2024,Rental PS Aditya Putra Pamungkas  ,TJK,e. KENDALA PELANGGAN,STN,DBS,150MBPS,INNER
7,JULI,11/07/2024,MAS BRO GROSIR  LABUAN MARINGGAI LAMPUNG,LAM,a. PS,FMK,DBS,50MBPS,METRO
9,JULI,11/07/2024,MA NURUL HUDA PRINGSEWU,PRW,a. PS,BTO,DBS,100MBPS,PRINGSEWU
3,JULI,12/07/2024,PT PNM MEKAAR SUKABUMI  BANDARLAMPUNG,KDT,a. PS,BTO,DPS,50MBPS,INNER
2,JULI,12/07/2024,ROCKET CHICKEN KOTA KARANG  BANDARLAMPUNG,TJK,a. PS,STN,DBS,50MBPS,INNER
6,JULI,11/07/2024,PT CIOMAS - IT,LKP,KENDALA BUTUH PT2NS/PT3,SIM,DBS,50MBPS,INNER
4,JULI,12/07/2024,SD Negeri 2 Harapan Jaya  ,KDT,a. PS,BTO,DBS,150MBPS,INNER
8,JULI,12/07/2024,RIYAN SHOP  METRO LAMPUNG,MET,a. PS,FMK,DBS,100MBPS,METRO
9,JULI,12/07/2024,PT. SUKU MAYA TEKNOLOGI-LANTAI 1  METRO LAMPUNG,MET,a. PS,FMK,DBS,200MBPS,METRO
10,JULI,12/07/2024,PT. SUKU MAYA TEKNOLOGI-LANTAI 1  METRO LAMPUNG,MET,a. PS,FMK,DBS,200MBPS,METRO
12,JULI,12/07/2024,Nasi uduk dewa,PRW,a. PS,BTO,DBS,200MBPS,PRINGSEWU
5,JULI,12/07/2024,PT SANATEL,TJK,e. CANCEL,KPU,DPS,100MBPS,INNER
1,JULI,13/07/2024,PT BINTANG SUMATERA EXPRESS,SRW,a. PS,BTO,DBS,50MBPS,INNER
2,JULI,13/07/2024,PT BINTANG SUMATERA EXPRESS  BANDARLAMPUNG,SRW,a. PS,BTO,DBS,100MBPS,INNER
4,JULI,13/07/2024,SDN 02 PENAWAR JAYA,UNT,a. PS,BTO,DBS,50MBPS,METRO
5,JULI,13/07/2024,DESY SHOP  LABUAN MARINGGAI LAMPUNG,LAM,a. PS,FMK,DBS,50MBPS,METRO
3,JULI,13/07/2024,YONAIS SALON DAN SPA - 2  ,MET,a. PS,BTO,DBS,150MBPS,METRO
7,JULI,13/07/2024,HARRIS KOMPUTER,MET,a. PS,FMK,DBS,300MBPS,METRO
8,JULI,13/07/2024,RUMDIN KESBANGPOL PESIBAR,KRU,a. PS,GTM,DGS,50MBPS,PRINGSEWU
3,JULI,11/07/2024,PT BINTANG UTAMA JAYA MAKMUR  BANDARLAMPUN,TJK,e. CANCEL,KPU,DBS,100MBPS,INNER
2,JULI,14/07/2024,GRAND PARAGON CITY KARAOKE  UNIT DUA MENGGALA LAMPUNG,UNT,a. PS,BTO,DBS,50MBPS,METRO
1,JULI,15/07/2024,PT BINTANG SUMATERA EXPRESS,SRW,a. PS,BTO,DBS,50MBPS,INNER
2,JULI,15/07/2024,PT BINTANG SUMATERA EXPRESS,SRW,a. PS,BTO,DBS,200MBPS,INNER
3,JULI,15/07/2024,PT BINTANG SUMATERA EXPRESS,SRW,a. PS,BTO,DBS,100MBPS,INNER
4,JULI,15/07/2024,Warung Nasi Andri Novianto,NTR,a. PS,BTO,DBS,100MBPS,INNER
7,JULI,15/07/2024,SMP NEGERI 1 BRAJA SELEBAH  WAY JEPARA LAMPUNG,WJA,a. PS,BTO,DBS,100MBPS,METRO
1,JULI,29/07/2024,PT. KINISO AGENSY INDONESIA,KDT,a. PS,BTO,DBS,200MBPS,INNER
8,JULI,15/07/2024,RUANG STAFF SMK KARTIKA  METRO LAMPUNG,MET,a. PS,FMK,DBS,300MBPS,METRO
9,JULI,15/07/2024,RUANG KELAS SMK II KARTIKA,MET,a. PS,FMK,DBS,300MBPS,METRO
11,JULI,10/07/2024,BUMDES BESI BERKILAU PEKON KANDANG BESI  KOTA AGUNG LAMPUNG,KOT,KENDALA BUTUH PT2NS/PT3,BTO,DBS,300MBPS,PRINGSEWU
10,JULI,15/07/2024,SMA DARUSY SYAFAAH KOTAGAJAH,MET,a. PS,FMK,DBS,75MBPS,METRO
11,JULI,15/07/2024,SMK DARUSY SYAFAAH KOTAGAJAH  METRO LAMPUNG,MET,a. PS,FMK,DBS,200MBPS,METRO
12,JULI,15/07/2024,RUANG STAFF SMK KARTIKA - 2,MET,a. PS,FMK,DBS,300MBPS,METRO
1,JULI,16/07/2024,PT JBA INDONESIA  BANDARLAMPUNG,KDT,a. PS,BTO,DPS,50MBPS,INNER
2,JULI,16/07/2024,PT BOLDE INOVASI GLOBAL  BANDARLAMPUNG,TJK,a. PS,STN,DBS,50MBPS,INNER
3,JULI,14/07/2024,CV RAIN SHAKA MAKMUR  SEPUTIH MATARAM,BDA,e. CANCEL,FMK,DBS,200MBPS,METRO
3,JULI,25/07/2024,SCUTO LAMPUNG SIGNATURE  BANDARLAMPUNG,TJK,a. PS,KPU,DBS,50MBPS,INNER
4,JULI,16/07/2024,Polda Lampung - zaenal,TJK,a. PS,KPU,DBS,50MBPS,INNER
7,JULI,16/07/2024,KANTOR KECAMATAN BANDAR SRIBAWONO,LAM,a. PS,FMK,DBS,50MBPS,METRO
4,JULI,17/07/2024,PT TELEMEDIA DINAMIKA SARANA  BANDARLAMPUNG,TJK,a. PS,KPU,DGS,100MBPS,INNER
3,JULI,17/07/2024,Ponpes Riyasdus Sholihin,TJK,a. PS,KPU,DBS,50MBPS,INNER
6,JULI,17/07/2024,STIS DARUSY SYAFAAH KOTAGAJAH,MET,a. PS,FMK,DBS,100MBPS,METRO
7,JULI,17/07/2024,SD NEGERI 01 TRI TUNGGAL JAYA  UNIT DUA MENGGALA LAMPUNG,UNT,a. PS,FMK,DBS,150MBPS,METRO
5,JULI,17/07/2024,PT. SUKU MAYA TEKNOLOGI-RUANG ADMIN  METRO LAMPUNG,MET,a. PS,FMK,DBS,200MBPS,METRO
10,JULI,17/07/2024,INNA&#39;S VILLA DESA  ,KRU,a. PS,GTM,DBS,150MBPS,PRINGSEWU
12,JULI,17/07/2024,TOKO ROMANTIKA JAYA  ,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
10,JUNI,16/07/2024,INNAS VILLA DESA  KRUI LAMPUNG,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
5,JULI,15/07/2024,SMPN 39 BANDAR LAMPUNG,TJK,KENDALA BUTUH PT2NS/PT3,KPU,DBS,50MBPS,INNER
15,JULI,15/07/2024,RUMDIN BPKAD MESUJI  ,UNT,KENDALA BUTUH PT2NS/PT3,BTO,DGS,30MBPS,METRO
14,JULI,15/07/2024,SAKHA CELL  METRO LAMPUNG,MET,KENDALA BUTUH PT2NS/PT3,FMK,DBS,50MBPS,METRO
17,JULI,15/07/2024,SMK IT AR-RAHMAN KOTA AGUNG  KOTA AGUNG LAMPUNG,KOT,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,PRINGSEWU
8,JUNI,16/07/2024,SMAN 1 SUKADANA - RUANG KELAS  SUKADANA LAMPUNG,SKD,a. PS,BTO,DBS,150MBPS,METRO
1,JULI,18/07/2024,Limbah Sultan ,PJN,a. PS,STN,DBS,50MBPS,INNER
2,JULI,18/07/2024,PT. PESONA ALAM LAMPUNG  ,TJK,a. PS,KPU,DBS,200MBPS,INNER
3,JULI,18/07/2024,WAKA SPN POLDA LAMPUNG  ,LKP,a. PS,BTO,DBS,50MBPS,INNER
4,JULI,18/07/2024,SEKOLAH POLISI NEGARA,LKP,a. PS,BTO,DBS,50MBPS,INNER
17,JULI,18/07/2024,DINAS PERIKANAN KABUPATEN PESISIR BARAT,KRU,a. PS,GTM,DBS,200MBPS,PRINGSEWU
16,JULI,18/07/2024,TPH BIDANG PERENCANA,KBI,a. PS,DCM,DBS,100MBPS,PRINGSEWU
2,JULI,29/07/2024,BALAI BESAR BPOM BANDAR LAMPUNG,TJK,a. PS,KPU,DBS,IP PHONE,INNER
15,JULI,18/07/2024,TPH BIDANG TANAMAN PANGAN  ,KBI,a. PS,DCM,DBS,50MBPS,PRINGSEWU
2,JULI,19/07/2024,PT. PESONA NATASHA GEMILANG  BANDARLAMPUNG,TJK,a. PS,KPU,DBS,100MBPS,INNER
3,JULI,19/07/2024,URBANVIEW HOTEL BETEGO SYARIAH ENGGAL,TJK,a. PS,KPU,DBS,100MBPS,INNER
4,JULI,19/07/2024,PT. BUDI PERMATA INDAH  BANDARLAMPUNG,TJK,a. PS,STN,DBS,100MBPS,INNER
6,JULI,19/07/2024,PT. BUDI PERMATA INDAH  BANDARLAMPUNG,TJK,a. PS,STN,DBS,TELPON,INNER
10,JULI,18/07/2024,PT JIVA AGRICULTURE INDONESIA  BANDARLAMPUNG,KDT,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,INNER
5,JULI,19/07/2024,PT. Solusindo Bintang Pratama,TJK,a. PS,KPU,DBS,50MBPS,INNER
8,JULI,19/07/2024,PT DINASTY HAN DJAYA,LKP,KENDALA BUTUH PT2NS/PT3,SIM,DBS,50MBPS,INNER
1,JULI,23/07/2024,sdit ar rauf  lampung,TJK,a. PS,KPU,DBS,50MBPS,INNER
9,JULI,19/07/2024,SMP MAARIF 01 SEPUTIH RAMAN,MET,a. PS,FMK,DBS,50MBPS,METRO
11,JULI,19/07/2024,CV.KARYA MANDIRI SEJAHTERA,UNT,a. PS,FMK,DBS,200MBPS,METRO
13,JULI,19/07/2024,TOKO C-MODE,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
14,JULI,19/07/2024,TPH BIDANG PENYULUHAN  ,KBI,a. PS,DCM,DBS,100MBPS,PRINGSEWU
5,JULI,20/07/2024,PT APLIKASI DIGITAL INDONESIA - RUANG WAKA BUDI,LKP,a. PS,SIM,DBS,50MBPS,INNER
6,JULI,16/07/2024,TOKO DANISH  BANDARLAMPUNG,TJK,f. BUTUH PT2 SIMPLE,STN,DBS,100MBPS,INNER
9,JULI,17/07/2024,RUMDIN KABAN BPKAD MESUJI,UNT,e. TANAM TIANG,FMK,DGS,50MBPS,METRO
8,JULI,24/07/2024,YAYASAN PONPES NURUL KIROM,UNT,a. PS,TA,DBS,300MBPS,METRO
2,JULI,20/07/2024,PT MITRA TEKNOLOGI LINGKUNGAN,SRW,a. PS,BTO,DBS,150 MBPS,INNER
10,JULI,19/07/2024,PT. NIPSEA PAINT AND CHEMICALS,BDA,KENDALA BUTUH PT2NS/PT3,FMK,DBS,100MBPS,METRO
15,JULI,20/07/2024,LAPANGAN OLAHRAGA - GMP,KDT,a. PS,BTO,DSS,50MBPS,INNER
8,JULI,20/07/2024,KSPPS BINA UMAT MADANI,MET,a. PS,FMK,DBS,50MBPS,METRO
11,JULI,20/07/2024,TPH BIDANG SEKRETARIAT,KBI,a. PS,DCM,DBS,150MBPS,PRINGSEWU
1,AGUSTUS,05/08/2024,PT. KAPM PROYEK DEPO,TJK,a. PS,KPU,DBS,75MBPS,INNER
12,JULI,20/07/2024,GAKKUMDU PESBAR,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
7,JULI,20/07/2024,BPKAD QQ RIZKY,KDT,f. BUTUH PT2 SIMPLE,BTO,DGS,50MBPS,INNER
3,JULI,21/07/2024,SECRET SUMATRA,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
4,JULI,21/07/2024,KOST MAWAR,GDT,a. PS,BTO,DBS,50MBPS,PRINGSEWU
1,JULI,22/07/2024,SMP AL AZHAR 58 BANDAR LAMPUNG,KDT,a. PS,BTO,DBS,200MBPS,INNER
2,JULI,22/07/2024,OTSKY  BANDARLAMPUNG,KDT,a. PS,STN,DBS,100MBPS,INNER
3,JULI,22/07/2024,REACH OFFICE,KDT,a. PS,BTO,DBS,100MBPS,INNER
8,JULI,22/07/2024,MANDALA MULTIFINACE  MESUJI,UNT,a. PS,FMK,DPS,50MBPS,METRO
9,JULI,22/07/2024,SETDAKAB LAMTIM,MET,a. PS,FMK,DBS,50MBPS,METRO
2,JULI,23/07/2024,MPP LAMSEL - RUANG PEGAWAI ,KLA,a. PS,SIM,DGS,100MBPS,INNER
3,JULI,23/07/2024,PT GEKO BEBE INDONESIA,KDT,a. PS,BTO,DBS,100MBPS,INNER
4,JULI,23/07/2024,PT. BUDI PERMATA INDAH  BANDARLAMPUNG,TJK,a. PS,STN,DBS,TELPON,INNER
5,JULI,23/07/2024,OTSKY  BANDARLAMPUNG,KDT,a. PS,STN,DBS,75MBPS,INNER
9,JULI,24/07/2024,PT ICO LTD TULANG BAWANG  UNIT DUA MENGGALA LAMPUNG,UNT,a. PS,FMK,DBS,300MBPS,METRO
10,JULI,24/07/2024,PT. Artacomindo Jejaring Nusa_L782-BANJAR NEGERI PESAWARAN,GDT,a. PS,BTO,DBS,30MBPS,PRINGSEWU
11,JULI,24/07/2024,RUMDIN KADIS KOMINFO LU,KBI,a. PS,DCM,DBS,50MBPS,PRINGSEWU
13,JULI,24/07/2024,ASRAMA POLRES LAMPUNG UTARA  ,KBI,a. PS,DCM,DBS,50MBPS,PRINGSEWU
7,JULI,23/07/2024,DINAS PENGAIRAN - KANTOR PU BWS 8  BANDARJAYA LAMPUNG,BDA,a. PS,FMK,DBS,50MBPS,METRO
8,JULI,23/07/2024,PT. MITRA BALI SUKSES  LAMPUNG TENGAH,BDA,a. PS,FMK,DBS,75MBPS,METRO
9,JULI,23/07/2024,PT. MITRA BALI SUKSES  BANDARJAYA LAMPUNG,BDA,a. PS,FMK,DBS,50MBPS,METRO
12,JULI,25/07/2024,KLINIK AFIF  GEDONG TATAAN LAMPUNG,GDT,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
3,JULI,29/07/2024,BOOSTER RESTO & KARAOKE,TJK,a. PS,STN,DBS,200MBPS,INNER
12,JULI,23/07/2024,SMA NEGERI 1 PEKALONGAN  METRO LAMPUNG,MET,KENDALA BUTUH PT2NS/PT3,FMK,DBS,100MBPS,METRO
13,JULI,23/07/2024,SC CELL STORE  LABUAN MARINGGAI LAMPUNG,LAM,f. BUTUH PT2 SIMPLE,FMK,DBS,75MBPS,METRO
14,JULI,23/07/2024,PDAM WAY LIMA,GDT,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
13,JULI,25/07/2024,Dinas Pengendalian Penduduk Dan Keluarga Berencana,KBI,a. PS,DCM,DBS,50MBPS,PRINGSEWU
1,JULI,26/07/2024,BNNK Lampung Selatan  ,KLA,a. PS,SIM,DBS,50MBPS,INNER
1,AGUSTUS,02/08/2024,KANTOR WILAYAH KEMENTRIAN AGAMA PROV LAMPUNG  BANDARLAMPUNG,TJK,a. PS,KPU,DBS,100MBPS,INNER
13,JULI,22/07/2024,DINAS PENDIDIKAN Kab PESAWARAN BIDANG PAUD,GDT,a. PS,BTO,DBS,50MBPS,PRINGSEWU
14,JULI,22/07/2024,KANTOR PEKON SUKABUMI,TGP,a. PS,BTO,DBS,50MBPS,PRINGSEWU
5,JULI,21/07/2024,NUR CELL 2,KBI,e. CANCEL,DCM,DBS,100MBPS,PRINGSEWU
,JULI,24/07/2024,SUMATERA HOTEL & COFFEE SHOP,WJA,f. BUTUH PT2 SIMPLE,FMK,DBS,50MBPS,METRO
15,JULI,25/07/2024,RUMDIN SEKRETARIS KOMINFO PESIBAR,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
2,JULI,26/07/2024,ILUVV.ID  KALIANDA LAMPUNG,KLA,a. PS,SIM,DBS,50MBPS,INNER
3,JULI,26/07/2024,PT ABADI SAKTI MITRA MANDIRI  ,KDT,a. PS,BTO,DBS,50MBPS,INNER
